"TABLE 5.—LIST OF MEDICARE SEVERITY DIAGNOSIS-RELATED GROUPS (MS-DRGS), RELATIVE WEIGHTING FACTORS, AND GEOMETRIC AND ARITHMETIC MEAN LENGTH OF STAY—FY 2013"								
MS-DRG 	FY 2013 Final Rule Post-Acute DRG	FY 2013 Final Rule Special Pay DRG	MDC	TYPE	MS-DRG Title	Weights	Geometric mean LOS	Arithmetic mean LOS
217	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC	6.3495	9.0	10.2
218	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC	5.3429	6.5	7.4
219	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC	7.8390	10.3	12.5
220	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC	5.2438	6.8	7.5
221	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC	4.4232	5.1	5.6
222	No	No	05	SURG	CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC	8.5506	9.9	12.0
223	No	No	05	SURG	CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC	6.1065	4.4	5.9
224	No	No	05	SURG	CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC	7.6758	8.1	10.0
225	No	No	05	SURG	CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC	5.7605	4.0	5.0
226	No	No	05	SURG	CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC	6.7354	6.1	8.7
227	No	No	05	SURG	CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC	5.1886	2.1	3.1
228	No	No	05	SURG	OTHER CARDIOTHORACIC PROCEDURES W MCC	7.0815	11.2	13.4
229	No	No	05	SURG	OTHER CARDIOTHORACIC PROCEDURES W CC	4.6279	7.1	8.0
230	No	No	05	SURG	OTHER CARDIOTHORACIC PROCEDURES W/O CC/MCC	3.8111	4.8	5.6
231	No	No	05	SURG	CORONARY BYPASS W PTCA W MCC	7.5297	10.3	12.1
232	No	No	05	SURG	CORONARY BYPASS W PTCA W/O MCC	5.7151	8.3	9.1
233	Yes	No	05	SURG	CORONARY BYPASS W CARDIAC CATH W MCC	7.2292	11.9	13.4
234	Yes	No	05	SURG	CORONARY BYPASS W CARDIAC CATH W/O MCC	4.8413	8.1	8.7
235	Yes	No	05	SURG	CORONARY BYPASS W/O CARDIAC CATH W MCC	5.8014	9.2	10.7
236	Yes	No	05	SURG	CORONARY BYPASS W/O CARDIAC CATH W/O MCC	3.7777	6.0	6.5
237	No	No	05	SURG	MAJOR CARDIOVASC PROCEDURES W MCC	5.1170	7.1	10.0
238	No	No	05	SURG	MAJOR CARDIOVASC PROCEDURES W/O MCC	3.1863	2.7	3.9
239	Yes	No	05	SURG	AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC	4.6194	11.1	14.1
240	Yes	No	05	SURG	AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC	2.6531	7.4	9.1
241	Yes	No	05	SURG	AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC	1.4825	4.7	5.7
242	Yes	No	05	SURG	PERMANENT CARDIAC PACEMAKER IMPLANT W MCC	3.7314	6.1	7.8
243	Yes	No	05	SURG	PERMANENT CARDIAC PACEMAKER IMPLANT W CC	2.6204	3.7	4.7
244	Yes	No	05	SURG	PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC	2.0624	2.3	2.8
245	No	No	05	SURG	AICD GENERATOR PROCEDURES	4.2540	2.9	4.3
246	No	No	05	SURG	PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS	3.1566	3.8	5.2
247	No	No	05	SURG	PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC	1.9911	2.0	2.5
248	No	No	05	SURG	PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ VES/STENTS	3.0003	4.7	6.4
249	No	No	05	SURG	PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC	1.7961	2.3	2.9
250	No	No	05	SURG	PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC	2.9988	5.2	7.1
251	No	No	05	SURG	PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC	1.9237	2.2	3.0
252	No	No	05	SURG	OTHER VASCULAR PROCEDURES W MCC	3.0224	5.3	7.8
253	No	No	05	SURG	OTHER VASCULAR PROCEDURES W CC	2.4739	4.4	5.9
254	No	No	05	SURG	OTHER VASCULAR PROCEDURES W/O CC/MCC	1.6609	2.1	2.7
255	Yes	No	05	SURG	UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC	2.4381	6.7	8.8
256	Yes	No	05	SURG	UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC	1.5934	5.5	6.8
257	Yes	No	05	SURG	UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W/O CC/MCC	0.9535	3.2	4.2
258	No	No	05	SURG	CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC	2.6945	5.0	6.5
259	No	No	05	SURG	CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC	1.8590	2.5	3.3
260	No	No	05	SURG	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC	3.6624	7.7	10.5
261	No	No	05	SURG	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC	1.6769	3.4	4.4
262	No	No	05	SURG	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC	1.2343	2.1	2.7
263	No	No	05	SURG	VEIN LIGATION & STRIPPING	1.9091	3.8	5.9
264	Yes	No	05	SURG	OTHER CIRCULATORY SYSTEM O.R. PROCEDURES	2.6674	5.6	8.3
265	No	No	05	SURG	AICD LEAD PROCEDURES	2.4394	2.5	3.8
280	Yes	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC"	1.7999	4.9	6.3
281	Yes	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC"	1.0961	3.2	4.0
282	Yes	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC"	0.7736	2.1	2.6
283	No	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC"	1.7539	3.2	5.1
284	No	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC"	0.8042	1.9	2.6
285	No	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC"	0.5353	1.4	1.7
286	No	No	05	MED	"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC"	2.0617	4.9	6.6
287	No	No	05	MED	"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC"	1.0709	2.4	3.1
288	Yes	No	05	MED	ACUTE & SUBACUTE ENDOCARDITIS W MCC	2.8229	7.9	9.9
289	Yes	No	05	MED	ACUTE & SUBACUTE ENDOCARDITIS W CC	1.8145	5.9	7.2
290	Yes	No	05	MED	ACUTE & SUBACUTE ENDOCARDITIS W/O CC/MCC	1.2092	4.1	5.0
291	Yes	No	05	MED	HEART FAILURE & SHOCK W MCC	1.5174	4.7	6.0
292	Yes	No	05	MED	HEART FAILURE & SHOCK W CC	1.0034	3.8	4.6
293	Yes	No	05	MED	HEART FAILURE & SHOCK W/O CC/MCC	0.6751	2.7	3.2
294	No	No	05	MED	DEEP VEIN THROMBOPHLEBITIS W CC/MCC	1.0229	4.2	5.1
295	No	No	05	MED	DEEP VEIN THROMBOPHLEBITIS W/O CC/MCC	0.6476	3.5	4.0
296	No	No	05	MED	"CARDIAC ARREST, UNEXPLAINED W MCC"	1.2878	1.9	2.8
297	No	No	05	MED	"CARDIAC ARREST, UNEXPLAINED W CC"	0.6455	1.3	1.5
298	No	No	05	MED	"CARDIAC ARREST, UNEXPLAINED W/O CC/MCC"	0.4571	1.1	1.2
299	Yes	No	05	MED	PERIPHERAL VASCULAR DISORDERS W MCC	1.4186	4.5	5.8
300	Yes	No	05	MED	PERIPHERAL VASCULAR DISORDERS W CC	0.9679	3.7	4.6
301	Yes	No	05	MED	PERIPHERAL VASCULAR DISORDERS W/O CC/MCC	0.6679	2.7	3.4
302	No	No	05	MED	ATHEROSCLEROSIS W MCC	1.0142	2.9	3.9
303	No	No	05	MED	ATHEROSCLEROSIS W/O MCC	0.5773	1.9	2.3
304	No	No	05	MED	HYPERTENSION W MCC	1.0503	3.4	4.4
